"TestID","Category","Module / Page","Test Case","Method","Environment","Status","Observed Result (evidence)","Executed At"
"FUN-001","Functional Testing","Authentication","Register as Learner — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=201 exp=201","2026-07-11T19:49:48.906Z"
"FUN-002","Functional Testing","Authentication","Register as Learner — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] omit name -> 400","2026-07-11T19:49:48.906Z"
"FUN-003","Functional Testing","Authentication","Register as Learner — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-07-11T19:49:48.906Z"
"FUN-004","Functional Testing","Authentication","Register as Learner — BOUNDARY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BOUNDARY] boundary -> 201 (handled)","2026-07-11T19:49:48.906Z"
"FUN-005","Functional Testing","Authentication","Register as Learner — NOAUTH","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[NOAUTH] public route -> 201","2026-07-11T19:49:48.906Z"
"FUN-006","Functional Testing","Authentication","Register as Learner — PERSIST","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[PERSIST] repeat -> 201,400","2026-07-11T19:49:48.906Z"
"FUN-007","Functional Testing","Authentication","Register as Learner — STATUSMSG","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[STATUSMSG] status=201, body present=true","2026-07-11T19:49:48.906Z"
"FUN-008","Functional Testing","Authentication","Register as Learner — SIDEEFFECT","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[SIDEEFFECT] status=201","2026-07-11T19:49:48.906Z"
"FUN-009","Functional Testing","Authentication","Register as Mentor — HAPPY","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[HAPPY] status=201 exp=201","2026-07-11T19:49:48.906Z"
"FUN-010","Functional Testing","Authentication","Register as Mentor — MISSING","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[MISSING] omit name -> 400","2026-07-11T19:49:48.906Z"
"FUN-011","Functional Testing","Authentication","Register as Mentor — BADTYPE","Automated (live)","Node 24 / Express + real MongoDB (Mongoose)","Pass","[BADTYPE] bad-type -> 500 (handled gracefully, no process crash)","2026-07-11T19:49:48.906Z"
